Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-05-19 00:00:00,Coors Field,TEX @ COL,8:40,-8%,+27%,+11%,+14%,-0.18,+0.93,+1.14,+1.27,+19%,+30%,+16%,+32%,+0.44,+1.05,+1.67,+2.80,-28%,-3%,-5%,-17%,-0.62,-0.12,-0.53,-1.53
2026-05-19 00:00:00,Citizens Bank Park,CIN @ PHI,6:40,+37%,-7%,-3%,+12%,+0.84,-0.24,-0.28,+1.03,+15%,-3%,-2%,+5%,+0.33,-0.11,-0.19,+0.42,+23%,-4%,-1%,+7%,+0.52,-0.14,-0.09,+0.62
2026-05-19 00:00:00,Nationals Park,NYM @ WAS,6:45,+5%,+3%,+7%,+7%,+0.11,+0.11,+0.75,+0.60,+3%,+5%,+3%,+4%,+0.07,+0.16,+0.35,+0.32,+2%,-1%,+4%,+3%,+0.04,-0.05,+0.40,+0.28
2026-05-19 00:00:00,Yankee Stadium,TOR @ NYY,7:05,+21%,-7%,-3%,+6%,+0.46,-0.25,-0.35,+0.49,+4%,-12%,-6%,-5%,+0.10,-0.43,-0.62,-0.43,+16%,+5%,+3%,+10%,+0.37,+0.18,+0.27,+0.92
2026-05-19 00:00:00,Chase Field,SF  @ ARI,9:40,-7%,+21%,-2%,+3%,-0.15,+0.73,-0.18,+0.30,-7%,+12%,+0%,+1%,-0.17,+0.43,+0.05,+0.12,+1%,+9%,-2%,+2%,+0.01,+0.30,-0.23,+0.18
2026-05-19 00:00:00,Angel Stadium,ATH @ LAA,9:38,+5%,-5%,+2%,+1%,+0.11,-0.19,+0.24,+0.13,+10%,-5%,+1%,+3%,+0.23,-0.19,+0.10,+0.23,-5%,0%,+1%,-1%,-0.12,0.00,+0.14,-0.10
2026-05-19 00:00:00,Comerica Park,CLE @ DET,6:40,-2%,-5%,+5%,-1%,-0.04,-0.19,+0.55,-0.12,-9%,+0%,+6%,-2%,-0.21,+0.01,+0.61,-0.13,+8%,-6%,-1%,+0%,+0.18,-0.20,-0.06,+0.01
2026-05-19 00:00:00,LoanDepot Park,ATL @ MIA,4:10,-15%,+3%,-2%,-6%,-0.34,+0.09,-0.25,-0.51,-15%,+3%,-1%,-5%,-0.33,+0.09,-0.15,-0.46,0%,+0%,-1%,-1%,0.00,+0.00,-0.09,-0.05
2026-05-19 00:00:00,Tropicana Field,BAL @ TB,6:40,-3%,-7%,-8%,-6%,-0.07,-0.24,-0.82,-0.52,-3%,-6%,-8%,-6%,-0.08,-0.22,-0.82,-0.52,+1%,0%,0%,+0%,+0.01,-0.01,0.00,+0.00
2026-05-19 00:00:00,Wrigley Field,MIL @ CHC,7:40,-1%,-18%,-1%,-9%,-0.03,-0.63,-0.15,-0.77,-3%,-11%,-3%,-7%,-0.07,-0.37,-0.32,-0.61,+2%,-8%,+2%,-2%,+0.04,-0.26,+0.17,-0.15
2026-05-19 00:00:00,Target Field,HOU @ MIN,7:40,-22%,-1%,-2%,-10%,-0.49,-0.03,-0.20,-0.85,-6%,+2%,+2%,+0%,-0.13,+0.05,+0.18,+0.04,-16%,-2%,-4%,-10%,-0.36,-0.08,-0.38,-0.89
2026-05-19 00:00:00,Petco Park,LAD @ SD,9:40,-6%,-8%,-9%,-10%,-0.14,-0.29,-0.91,-0.87,-4%,-12%,-5%,-8%,-0.10,-0.42,-0.49,-0.66,-2%,+3%,-4%,-2%,-0.05,+0.12,-0.42,-0.21
2026-05-19 00:00:00,Busch Stadium,PIT @ STL,7:45,-20%,-18%,+7%,-13%,-0.45,-0.61,+0.74,-1.14,-8%,-5%,+4%,-5%,-0.17,-0.19,+0.44,-0.48,-12%,-12%,+3%,-8%,-0.28,-0.43,+0.30,-0.66
2026-05-19 00:00:00,T-Mobile Park,CHW @ SEA,9:40,-10%,-18%,-8%,-15%,-0.23,-0.63,-0.90,-1.35,+1%,-16%,-6%,-8%,+0.02,-0.54,-0.65,-0.72,-11%,-3%,-2%,-7%,-0.25,-0.09,-0.25,-0.63
2026-05-19 00:00:00,Kauffman Stadium,BOS @ KC,7:40,-21%,+5%,-10%,-16%,-0.48,+0.16,-1.10,-1.44,+9%,+3%,-1%,+3%,+0.20,+0.09,-0.09,+0.23,-30%,+2%,-9%,-19%,-0.68,+0.07,-1.01,-1.68
