Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-05-16 00:00:00,Coors Field,ARI @ COL,3:10,+23%,+25%,+16%,+32%,+0.52,+0.87,+1.75,+2.80,+19%,+30%,+16%,+32%,+0.42,+1.06,+1.68,+2.79,+4%,-5%,+1%,+0%,+0.10,-0.19,+0.07,+0.00
2026-05-16 00:00:00,Sutter Health Park,SF  @ ATH,9:40,+18%,+9%,+6%,+16%,+0.41,+0.30,+0.67,+1.42,+31%,+13%,+2%,+20%,+0.70,+0.46,+0.19,+1.74,-13%,-5%,+5%,-4%,-0.28,-0.16,+0.49,-0.31
2026-05-16 00:00:00,Nationals Park,BAL @ WAS,4:05,+11%,+9%,+7%,+12%,+0.25,+0.31,+0.70,+1.01,+3%,+4%,+3%,+3%,+0.07,+0.14,+0.35,+0.31,+8%,+5%,+3%,+8%,+0.18,+0.17,+0.34,+0.71
2026-05-16 00:00:00,Progressive Field,CIN @ CLE,6:10,+16%,+10%,-4%,+10%,+0.36,+0.36,-0.42,+0.85,-3%,+2%,-3%,0%,-0.06,+0.07,-0.28,-0.03,+19%,+8%,-1%,+10%,+0.43,+0.29,-0.14,+0.88
2026-05-16 00:00:00,Rate Field,CHC @ CHW,7:10,+6%,-10%,+3%,+1%,+0.14,-0.35,+0.32,+0.12,+3%,-8%,+3%,+0%,+0.06,-0.30,+0.28,+0.03,+3%,-1%,+0%,+1%,+0.07,-0.05,+0.04,+0.09
2026-05-16 00:00:00,Comerica Park,TOR @ DET,1:10,-1%,-8%,+10%,+1%,-0.03,-0.27,+1.05,+0.10,-10%,+2%,+6%,-1%,-0.22,+0.07,+0.64,-0.06,+8%,-10%,+4%,+2%,+0.19,-0.34,+0.42,+0.16
2026-05-16 00:00:00,Angel Stadium,LAD @ LAA,9:38,+6%,-7%,-1%,-1%,+0.13,-0.25,-0.10,-0.08,+9%,-5%,+1%,+2%,+0.20,-0.17,+0.11,+0.21,-3%,-2%,-2%,-3%,-0.07,-0.08,-0.20,-0.30
2026-05-16 00:00:00,Busch Stadium,KC  @ STL,2:15,+2%,-12%,+9%,-1%,+0.04,-0.43,+0.91,-0.12,-10%,-5%,+4%,-6%,-0.22,-0.16,+0.42,-0.54,+12%,-8%,+5%,+5%,+0.26,-0.28,+0.48,+0.42
2026-05-16 00:00:00,Target Field,MIL @ MIN,7:10,-7%,+2%,-2%,-2%,-0.15,+0.07,-0.17,-0.20,-7%,+2%,+2%,+0%,-0.16,+0.08,+0.17,+0.01,+0%,0%,-3%,-2%,+0.00,-0.01,-0.34,-0.21
2026-05-16 00:00:00,Truist Park,BOS @ ATL,7:15,-8%,+3%,0%,-3%,-0.17,+0.10,-0.04,-0.23,-4%,-6%,+1%,-4%,-0.10,-0.22,+0.12,-0.38,-3%,+9%,-1%,+2%,-0.07,+0.32,-0.15,+0.15
2026-05-16 00:00:00,Citi Field,NYY @ NYM,7:15,+5%,-18%,-3%,-4%,+0.11,-0.62,-0.28,-0.35,-2%,-19%,-5%,-8%,-0.04,-0.65,-0.48,-0.71,+7%,+1%,+2%,+4%,+0.15,+0.03,+0.20,+0.36
2026-05-16 00:00:00,PNC Park,PHI @ PIT,4:05,-8%,+4%,-4%,-4%,-0.19,+0.14,-0.40,-0.38,-15%,+12%,0%,-1%,-0.33,+0.41,-0.01,-0.05,+6%,-8%,-4%,-4%,+0.15,-0.27,-0.40,-0.33
2026-05-16 00:00:00,Daikin Park,TEX @ HOU,7:10,+5%,-11%,-4%,-5%,+0.10,-0.39,-0.42,-0.42,+5%,-11%,-4%,-5%,+0.11,-0.40,-0.45,-0.44,0%,+0%,+0%,+0%,-0.01,+0.01,+0.02,+0.02
2026-05-16 00:00:00,Tropicana Field,MIA @ TB,4:10,-3%,-7%,-8%,-6%,-0.08,-0.23,-0.85,-0.54,-4%,-6%,-8%,-6%,-0.09,-0.22,-0.84,-0.54,+1%,0%,0%,+0%,+0.01,-0.01,-0.01,+0.00
2026-05-16 00:00:00,T-Mobile Park,SD  @ SEA,7:15,-11%,-21%,-6%,-15%,-0.25,-0.74,-0.59,-1.31,+1%,-15%,-6%,-8%,+0.01,-0.51,-0.63,-0.69,-12%,-7%,+0%,-7%,-0.26,-0.23,+0.04,-0.63
