Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-05-20 00:00:00,Coors Field,TEX @ COL,3:10,+4%,+27%,+16%,+25%,+0.08,+0.95,+1.76,+2.18,+20%,+30%,+15%,+32%,+0.44,+1.04,+1.65,+2.77,-16%,-2%,+1%,-7%,-0.36,-0.09,+0.11,-0.60
2026-05-20 00:00:00,Citizens Bank Park,CIN @ PHI,1:05,+32%,-11%,+2%,+11%,+0.71,-0.37,+0.18,+0.93,+14%,-3%,-2%,+5%,+0.32,-0.10,-0.20,+0.41,+17%,-8%,+4%,+6%,+0.39,-0.26,+0.38,+0.53
2026-05-20 00:00:00,Angel Stadium,ATH @ LAA,9:38,+7%,-4%,+3%,+4%,+0.16,-0.12,+0.30,+0.31,+10%,-5%,+1%,+3%,+0.22,-0.17,+0.14,+0.25,-3%,+1%,+2%,+1%,-0.06,+0.05,+0.16,+0.06
2026-05-20 00:00:00,Nationals Park,NYM @ WAS,6:45,-7%,-2%,+9%,+1%,-0.16,-0.08,+0.97,+0.11,+3%,+5%,+4%,+4%,+0.06,+0.17,+0.39,+0.34,-10%,-7%,+6%,-3%,-0.22,-0.25,+0.59,-0.24
2026-05-20 00:00:00,Chase Field,SF  @ ARI,3:40,-8%,+11%,+0%,+0%,-0.18,+0.37,+0.03,+0.04,-8%,+12%,+0%,+1%,-0.17,+0.43,+0.05,+0.12,0%,-2%,0%,-1%,-0.01,-0.06,-0.01,-0.08
2026-05-20 00:00:00,Yankee Stadium,TOR @ NYY,7:05,+9%,-14%,-7%,-4%,+0.21,-0.47,-0.73,-0.37,+4%,-12%,-6%,-5%,+0.10,-0.43,-0.62,-0.43,+5%,-1%,-1%,+1%,+0.11,-0.05,-0.11,+0.07
2026-05-20 00:00:00,LoanDepot Park,ATL @ MIA,6:40,-13%,+2%,-2%,-5%,-0.28,+0.09,-0.21,-0.41,-13%,+2%,-1%,-4%,-0.28,+0.08,-0.11,-0.37,0%,+0%,-1%,0%,0.00,+0.01,-0.10,-0.04
2026-05-20 00:00:00,Tropicana Field,BAL @ TB,1:10,-2%,-7%,-8%,-6%,-0.06,-0.25,-0.83,-0.51,-3%,-7%,-8%,-6%,-0.07,-0.24,-0.83,-0.52,+1%,0%,+0%,+0%,+0.01,-0.01,+0.00,+0.01
2026-05-20 00:00:00,Kauffman Stadium,BOS @ KC,7:40,-22%,+5%,-3%,-10%,-0.50,+0.17,-0.29,-0.91,+9%,+3%,-1%,+3%,+0.21,+0.09,-0.09,+0.25,-31%,+2%,-2%,-13%,-0.70,+0.08,-0.20,-1.16
2026-05-20 00:00:00,Petco Park,LAD @ SD,8:40,-3%,-19%,-5%,-11%,-0.07,-0.68,-0.56,-0.93,-4%,-12%,-5%,-7%,-0.09,-0.42,-0.49,-0.65,+1%,-7%,-1%,-3%,+0.02,-0.26,-0.07,-0.28
2026-05-20 00:00:00,Target Field,HOU @ MIN,1:40,-35%,-10%,+7%,-12%,-0.78,-0.36,+0.73,-1.08,-6%,+2%,+2%,+0%,-0.14,+0.05,+0.21,+0.04,-28%,-12%,+5%,-13%,-0.64,-0.42,+0.52,-1.12
2026-05-20 00:00:00,T-Mobile Park,CHW @ SEA,4:10,-7%,-21%,-4%,-13%,-0.17,-0.75,-0.45,-1.11,+1%,-16%,-6%,-9%,+0.01,-0.56,-0.69,-0.77,-8%,-5%,+2%,-4%,-0.18,-0.19,+0.24,-0.34
2026-05-20 00:00:00,Busch Stadium,PIT @ STL,7:45,-26%,-8%,+2%,-15%,-0.57,-0.29,+0.26,-1.30,-8%,-5%,+4%,-5%,-0.17,-0.18,+0.44,-0.47,-18%,-3%,-2%,-9%,-0.40,-0.11,-0.18,-0.83
2026-05-20 00:00:00,Comerica Park,CLE @ DET,6:40,-32%,-4%,+4%,-15%,-0.71,-0.16,+0.37,-1.32,-10%,0%,+6%,-2%,-0.22,-0.01,+0.60,-0.19,-22%,-4%,-2%,-13%,-0.49,-0.14,-0.23,-1.13
2026-05-20 00:00:00,Wrigley Field,MIL @ CHC,7:40,-41%,-20%,+2%,-24%,-0.92,-0.69,+0.17,-2.15,-3%,-11%,-3%,-7%,-0.08,-0.37,-0.32,-0.63,-38%,-9%,+5%,-17%,-0.85,-0.33,+0.49,-1.52
